StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_6_TEXT,Q21
2022-10-05 18:12:41,2022-10-05 18:14:24,IP Address,*******,100,103,True,2022-10-05 18:14:25,R_1KqGt6ypMCFKe4n,*******,*******,*******,*******,*******,*******,anonymous,EN,mbh222,Yes,"Pictures showing on wrong posts, duplicate posts, comments not working",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should use mobile device instead of laptop to post,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,Add a filter to only see posts by friends,,,
2022-09-30 12:32:59,2022-09-30 12:33:34,IP Address,*******,16,34,False,2022-10-07 12:33:34,R_soHf9FsthbsMiYh,*******,*******,*******,*******,*******,*******,anonymous,EN,hes222,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07 16:34:34,2022-10-07 16:36:06,IP Address,*******,100,92,True,2022-10-07 16:36:06,R_1dml2olnEVSywIl,*******,*******,*******,*******,*******,*******,anonymous,EN,sn528,No,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",Should use mobile device instead of laptop to post,,,,"Show the topic (HER process) of each post in ""community"" page",,,Add links to profiles of whom left comments,,,,
2022-10-08 12:44:57,2022-10-08 12:46:27,IP Address,*******,100,90,True,2022-10-08 12:46:27,R_2atd74w9HOvECaE,*******,*******,*******,*******,*******,*******,anonymous,EN,Mg2265,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",Add links to profiles of whom left comments,,,,
2022-10-02 07:46:34,2022-10-02 07:46:58,IP Address,*******,16,23,False,2022-10-09 07:46:59,R_BAlZOjPWvKpgvZL,*******,*******,*******,*******,*******,*******,anonymous,EN,ep443,No,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10 11:57:27,2022-10-10 11:59:35,IP Address,*******,100,128,True,2022-10-10 11:59:36,R_1GBKzMYHdTdhuJB,*******,*******,*******,*******,*******,*******,anonymous,EN,"iao4 ",No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Comments should NOT be mandatory,,Should use mobile device instead of laptop to post,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,,,
2022-10-11 14:45:08,2022-10-11 14:46:28,IP Address,*******,100,79,True,2022-10-11 14:46:29,R_3OcPHNB9N27dpAn,*******,*******,*******,*******,*******,*******,anonymous,EN,yl3262,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Comments should NOT be mandatory,,,,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-10-13 19:35:31,2022-10-13 19:36:55,IP Address,*******,100,83,True,2022-10-13 19:36:55,R_Dcs0dZb5wHoruWR,*******,*******,*******,*******,*******,*******,anonymous,EN,mm2577,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"""cool"", ""funny"", ""useful"" reactions should be mandatory",,,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-10-07 00:37:09,2022-10-07 00:37:38,IP Address,*******,79,28,False,2022-10-14 00:37:38,R_1DoKkibkABeaCFs,*******,*******,*******,*******,*******,*******,anonymous,EN,wc465,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,
2022-09-30 16:37:13,2022-10-07 10:27:10,IP Address,*******,16,582597,False,2022-10-14 10:27:17,R_2QKXbqYv4zB4jMR,*******,*******,*******,*******,*******,*******,anonymous,EN,grs226,No,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14 11:25:53,2022-10-14 11:26:51,IP Address,*******,100,58,True,2022-10-14 11:26:52,R_PTnfrpMh0oVPvzj,*******,*******,*******,*******,*******,*******,anonymous,EN,ab2457,No,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,,,"Just use ""like"" instead of ""cool"", ""funny"", ""useful""",,,,,
2022-10-14 14:42:12,2022-10-14 14:43:35,IP Address,*******,100,82,True,2022-10-14 14:43:35,R_2qwJEHfPV1eZxNJ,*******,*******,*******,*******,*******,*******,anonymous,EN,kv245,Yes,"I got an error uploading from my laptop (windows internet explorer), but not using my phone (Appli safari)",Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,,,"Others, please specify","have a function to see all my own posts, so I can quickly scroll through the reactios I got",
2022-10-08 10:18:09,2022-10-08 10:18:29,IP Address,*******,16,19,False,2022-10-15 10:18:30,R_3nG9B1r5UktA77Z,*******,*******,*******,*******,*******,*******,anonymous,EN,plz8,No,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15 11:45:29,2022-10-15 13:26:24,IP Address,*******,100,6055,True,2022-10-15 13:26:25,R_9Gqc2ij9WgzQ4g1,*******,*******,*******,*******,*******,*******,anonymous,EN,Tdf38,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,,,,,,,Add links to profiles of whom left comments,,,,"I think the community is pretty great so far! "
2022-10-15 20:48:27,2022-10-15 20:49:31,IP Address,*******,100,63,True,2022-10-15 20:49:31,R_2qxD5uWWHgfgjfG,*******,*******,*******,*******,*******,*******,anonymous,EN,ecs273,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should use mobile device instead of laptop to post,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",Add a summary list of all posts’ titles in “community” page,,Add links to profiles of whom left comments,,,,
2022-10-16 09:26:09,2022-10-16 09:27:27,IP Address,*******,100,78,True,2022-10-16 09:27:27,R_2q2eyTv43RwMmys,*******,*******,*******,*******,*******,*******,anonymous,EN,dbl67,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-10-09 15:22:53,2022-10-09 15:23:26,IP Address,*******,16,32,False,2022-10-16 15:23:28,R_ZLbzD1FgMYod8MF,*******,*******,*******,*******,*******,*******,anonymous,EN,rmb358,No,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16 20:27:41,2022-10-16 20:28:12,IP Address,*******,100,30,True,2022-10-16 20:28:12,R_2AFLhXbHZNH7TLz,*******,*******,*******,*******,*******,*******,anonymous,EN,xz283,No,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,Add a title to the post to summarize the post content,,,"Show the topic (HER process) of each post in ""community"" page",,,,,,,
2022-10-13 18:58:25,2022-10-13 19:10:11,IP Address,*******,16,706,False,2022-10-20 19:10:12,R_2uKygSLVDcMNu7E,*******,*******,*******,*******,*******,*******,anonymous,EN,ost3,No,,,,,,,,,,,,,,,,,,,,,,,,,
